stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,5,0.0450895,,0.037123791000340134,0.0450895,0.5029958749946672,0.5029958749946672,0.5426510830002371,0.7928882909909589,1.4664177499944344,right,5,1,1,0.9215344170079334,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
1,2,3,1.4715207909903256,,1.4665952079958515,1.4715207909903256,1.9595902079890948,1.9595902079890948,1.9595902079890948,2.2558924579934683,2.725833790987963,right,3,1,1,0.7593100829981267,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
2,1,1,2.751065958000254,,2.7260164159961278,2.751065958000254,3.2224938750005094,3.2224938750005094,3.242885583,3.5093099160003476,3.9444988329923945,right,1,0,0,0.7194098340114579,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
3,1,2,3.955428540997673,,3.944630040990887,3.955428540997673,4.439060707998578,4.439060707998578,4.443026790992008,4.726868207988446,4.957569165999303,left,-2,1,1,0.5108765000040876,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
4,1,2,4.965951082995161,,4.957686290988931,4.965951082995161,5.455996333,5.455996333,5.460369874999742,5.743010332997073,5.791521415987518,right,2,1,1,0.3250262919900706,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
5,1,2,5.7999695829930715,,5.791668790989206,5.7999695829930715,6.289358832989819,6.289358832989819,6.293617707997328,6.576409457993577,6.645660290989326,right,2,1,1,0.3536351660004584,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
6,1,1,6.655609915993409,,6.645789749993128,6.655609915993409,7.143458291,7.143458291,7.143458291,7.4396184159995755,7.591520874993876,left,-1,1,1,0.4357869999948889,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
7,1,1,7.600245958,,7.591662915991037,7.600245958,8.089415457987343,8.089415457987343,8.093762582997442,8.375668207998388,8.508028165990254,left,-1,1,1,0.4043786249967525,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
8,0.5,1,8.51620325,,8.508176582996384,8.51620325,9.006225957986317,9.006225957986317,9.010546708,9.293326207989594,9.425032916,left,-1,0,0,0.414916,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
9,0.5,1.5,9.433259749988792,,9.425204540995765,9.433259749988792,9.922783874993911,9.922783874993911,9.926906915992731,10.210499665990938,10.324989665998146,right,1.5,0,0,0.39506554199033417,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
10,0.5,2,10.333268249989487,,10.325131833000341,10.333268249989487,10.822851582997828,10.822851582997828,10.826725915991119,11.109548624997842,11.424912040994968,right,2,1,1,0.5941323330043815,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
11,0.5,2,11.433304582998971,,11.425058374996297,11.433304582998971,11.92292145799729,11.92292145799729,11.927313499996671,12.210784040988074,12.358305707995896,right,2,1,1,0.42288958399149124,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
12,0.5,2,12.367438749992289,,12.358467082987772,12.367438749992289,12.856216832995415,12.856216832995415,12.860372499999357,13.143330165999942,13.295444165996742,right,2,0,0,0.43555933400057256,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
13,0.5,2.5,13.305919082995388,,13.295603249993292,13.305919082995388,13.794053499994334,13.794053499994334,13.794053499994334,14.089860665990273,14.158319582988042,left,-2.5,1,1,0.36129550001351163,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
14,0.5,2.5,14.163768290993175,,14.158456499993918,14.163768290993175,14.656401040992932,14.656401040992932,14.660745207991567,14.943968374995166,15.124920207992545,right,2.5,1,1,0.46347829200385604,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
15,0.5,2.5,15.133003749986528,,15.125054457996157,15.133003749986528,15.623181707996991,15.623181707996991,15.627401124991593,15.910362208000151,16.14172783,right,2.5,1,1,0.5111313749948749,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
16,0.5,2,16.15026112,,16.141884707991267,16.15026112,16.6397095,16.6397095,16.644220249989303,16.926372957997955,16.941877416000352,right,2,1,1,0.2975564160005888,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
17,0.5,2,16.950352832995122,,16.94203700000071,16.950352832995122,17.439819624996744,17.439819624996744,17.44410241598962,17.726779665987124,17.775347499991767,right,2,1,1,0.3269499169982737,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
